group_name,mean_cpu_time,mean_wait_time,mean_execution_time,sd_cpu_time,sd_wait_time,sd_execution_time
c_25_m_32,1945,1438445,1440391,3792.59,1444114.02,1442663.38
c_25_m_64,21756,1442181,1463938,9844.75,1443905.16,1439595.68
c_25_m_128,181006,2391717,2572723,40626.29,24015.22,638940.82
c_25_m_256,1442213,10121200,11563414,358916.72,2478398.22,2792120.33
c_50_m_32,1450,1439454,1440905,2537.59,1442037.71,1442622.66
c_50_m_64,25745,1462123,1487868,11785.01,1440857.45,1447162.69
c_50_m_128,162547,2236230,2398778,36727.87,181977.53,2187808.42
c_50_m_256,1446830,10073072,11519902,356545.91,2594493.17,2884950.16
c_75_m_32,511,1441866,1442377,78.13,1443248.05,1443209.54
c_75_m_64,18344,1489641,1507985,11693.34,1445922.98,1444104.03
c_75_m_128,165862,1990845,2156707,38898.64,1365405.42,1375145.84
c_75_m_256,1457135,9674344,11131479,384856.31,2253842.7,2513340.17
c_100_m_32,1102,1442071,1443174,1626.11,1442993.53,1443361.44
c_100_m_64,23275,1508705,1531980,6625.33,1444079.17,1443745.41
c_100_m_128,176708,2788143,2964852,44912.4,1789448.41,1812456.95
c_100_m_256,1456363,8724668,10181032,411462.6,2358555.97,2676192.37
